Africa,Antartica,Asia,Europe,North America,Oceania,South America,Unknown,year
0,0,4,5,11728,50,0,2,2000
0,0,4,5,11820,50,0,2,2001
0,0,4,5,11976,50,0,2,2002
0,0,4,4,12201,49,0,2,2003
0,0,4,3,13180,49,0,2,2004
0,0,4,0,13611,46,0,0,2005
0,0,0,0,14706,41,0,0,2006
0,0,0,0,17778,35,0,0,2007
0,0,0,0,20746,35,0,0,2008
0,0,0,0,22903,35,0,0,2009
0,0,0,0,23679,35,0,0,2010
0,0,0,0,23722,9,0,0,2011
0,0,0,0,24477,8,0,0,2012
0,0,0,0,25436,8,0,0,2013
0,0,0,0,25441,7,0,0,2014
0,0,0,0,25176,7,0,0,2015
0,0,0,0,24859,7,0,0,2016
0,0,0,0,24541,7,0,0,2017
0,0,0,0,23686,7,0,0,2018
0,0,0,0,20880,6,0,0,2019
